,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,source,ID
5224,2017-03-11,1489212000,69.5,62.2,65.7,69.5,62.2,65.7,60.2,82.9,0.11,100.0,29.17,['rain'],0.0,0.0,20.8,13.0,66.8,1020.4,57.4,9.4,95.7,8.2,6.0,06:18:18,1489234698,18:09:56,1489277396,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,obs,2447
5225,2017-02-22,1487743200,81.7,47.1,62.9,80.3,47.1,62.8,48.8,65.7,0.0,0.0,0.0,,0.0,0.0,,5.2,259.5,1011.2,0.0,9.9,241.6,20.9,8.0,06:55:04,1487768104,18:16:06,1487808966,0.92,Clear,Clear conditions throughout the day.,clear-day,obs,2369
5226,2015-01-17,1421474400,68.0,43.0,54.0,68.0,36.5,51.6,35.1,52.1,0.0,0.0,0.0,,0.0,0.0,29.2,21.0,251.8,1017.4,1.3,9.7,169.6,14.7,7.0,07:31:34,1421501494,17:47:33,1421538453,0.94,Clear,Clear conditions throughout the day.,clear-day,obs,78
5227,2015-11-09,1447045200,50.1,44.3,47.1,50.1,37.3,43.4,44.1,89.2,0.76,100.0,62.5,['rain'],0.0,0.0,29.8,16.8,34.7,1022.0,59.6,6.8,60.7,5.1,3.0,06:56:12,1447070172,17:26:47,1447108007,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,obs,989
5228,2018-08-19,1534651200,83.3,73.0,76.7,88.8,73.0,77.8,71.8,85.4,0.07,100.0,8.33,['rain'],0.0,0.0,,8.9,235.0,1015.0,84.5,9.6,103.0,9.1,6.0,07:02:25,1534676545,20:19:29,1534724369,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,obs,3981
5229,2017-06-23,1498201200,76.2,63.4,68.4,76.2,63.4,68.4,60.1,75.6,0.0,0.0,0.0,,0.0,0.0,19.7,10.7,172.8,1011.5,55.7,8.5,347.9,30.0,10.0,05:42:54,1498221774,20:08:30,1498273710,1.0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,obs,2693
5230,2016-08-25,1472108400,76.4,65.7,69.5,76.4,65.7,69.5,61.0,74.7,0.0,0.0,0.0,,0.0,0.0,,11.7,203.3,1013.5,27.3,9.7,280.7,24.2,9.0,06:22:08,1472131328,19:27:00,1472178420,0.77,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,obs,1816
5231,2017-07-04,1499140800,84.8,65.0,75.0,88.1,65.0,76.0,66.8,76.9,0.0,0.0,0.0,,0.0,0.0,,10.3,84.3,1017.8,61.0,9.5,333.6,29.1,9.0,06:13:46,1499163226,21:08:30,1499216910,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,2739
5232,2015-09-10,1441868400,94.5,78.2,85.9,98.6,78.2,87.4,64.9,50.9,0.0,0.0,0.0,,0.0,0.0,18.3,9.9,165.6,1010.1,1.6,9.9,254.2,22.1,8.0,06:32:05,1441891925,19:06:14,1441937174,0.97,Clear,Clear conditions throughout the day.,clear-day,obs,823
5233,2020-01-23,1579755600,47.7,37.8,42.6,44.0,29.2,37.4,25.6,52.0,0.15,100.0,33.33,['rain'],0.0,0.0,24.2,14.6,85.9,1023.0,75.4,9.6,48.9,4.2,2.0,07:39:31,1579783171,17:59:06,1579820346,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,obs,5506
