"","state","16","18","20","22"
"1","AK",-0.548675424290648,-0.0431963713470445,0.112951243844646,-1.35166660893157
"2","AL",0.06778645060233,-0.181480670418908,0.474843101772516,-0.0949535570587705
"3","AR",-0.325269510296181,-0.965802895261612,0.270833705210509,-2.49388253321779
"4","AZ",0.00240208549609955,-0.742461174494549,-0.350615529882892,0.276638718299782
"5","CA",0.0233453047583725,0.214487653107956,-0.182865648901099,0.0421258591203832
"6","CO",-0.399032997681317,-0.535644442077119,-0.520009116879878,0.340876837689861
"7","CT",-0.0068402833559984,-0.126374879823653,0.731946592248882,-1.06776839583611
"8","DC",0.24392595661714,-0.415779794391042,-0.162094816362585,-0.0891295388075899
"9","DE",0.146909950465893,-0.113442954096331,0.535857298405046,-1.08732990286088
"10","FL",0.0953930875037219,0.700240777153436,0.0601922396357274,0.155843349894303
"11","GA",0.00305631999105294,0.304173285699598,-0.203529336988652,-0.13554936658722
"12","HI",-0.483669209263709,0.415889331361725,-0.615082519594672,-1.89624013176126
"13","IA",-0.0629544929913364,0.153682350916388,-0.0586993699602595,-1.57038277569608
"14","ID",-0.254309511642532,-0.614692068190501,-0.165533344564993,-0.00979532196868327
"15","IL",0.113091218451372,-0.067563436626102,-0.510919075625308,0.563176395716528
"16","IN",-0.216103302241938,0.154874453568989,0.100361493617202,0.572453537332761
"17","KS",-0.383415426354765,0.680663212411694,-0.027051983973324,1.53485281440165
"18","KY",-1.26240184309901,-0.917735780215118,-0.497150699161015,0.355211133280406
"19","LA",0.396780231393433,-0.237846145555914,0.860115195633037,2.07417018587378
"20","MA",0.47891107089118,0.0439945072396422,-0.619134425539568,1.57368447885674
"21","MD",0.340307366009295,-0.071420466174041,0.275009970980582,1.47238423176786
"22","ME",-0.0731414141039548,-0.736743997819562,-0.152439314504916,-1.86803569407223
"23","MI",0.483368464317491,0.383375053263295,0.580208683216177,-2.67128206795578
"24","MN",0.325129323612371,-0.319595354663815,0.377977844518679,-1.87268569889413
"25","MO",-0.631939813755562,0.145259475967834,-0.484429629848252,0.309723112076315
"26","MS",-0.785116355912695,-0.781498363148601,0.676420648786033,0.0299938166859668
"27","MT",-0.623807070821645,0.184831688644077,-0.643736893531157,-1.35211384473227
"28","NC",0.155576954194771,-0.213903505124227,0.100406879899768,-0.947355621398991
"29","ND",-0.269233246708417,-0.554103758082998,-0.232462934355362,2.05183106277819
"30","NE",-0.323834456006859,-0.23572942960006,0.288434608316954,1.54557963816906
"31","NH",1.06106805985745,-0.557290871884982,0.23066319104977,1.3109068877686
"32","NJ",-0.177400958368766,0.545476149698836,-0.190939970333733,0.50926719367422
"33","NM",-0.0029763264737277,-0.0619416658538514,-0.61689366043704,-0.109642348061822
"34","NV",0.0441444595407576,0.405700633224357,0.197742641633971,0.455362922709914
"35","NY",0.868929966349764,0.437769750889307,0.263504368246091,1.21217581504878
"36","OH",0.0824673597929879,0.0624307482670508,0.468374481064567,0.588290421864767
"37","OK",0.22393430065568,-0.316381485114247,-0.279754926001642,0.971037638334684
"38","OR",0.47020337520076,0.512546548167462,0.37539617773949,0.906275562109512
"39","PA",0.391265486208666,-0.145402457806776,0.728026290110081,0.327328983575408
"40","RI",-0.146368096096216,-0.190941800866252,NA,NA
"41","SC",-0.601064535026303,0.566715907097457,-0.420950824328218,0.102616531684481
"42","SD",0.38056583753919,-0.0379100266688466,0.236015376119428,0.710041142382194
"43","TN",-0.187791848145978,0.487627392218617,-0.433418626173122,0.537368034153455
"44","TX",-0.0129484548812031,-0.196380217579557,0.0689074909136093,0.833400955296737
"45","UT",0.301960047874197,0.348011546058167,-0.268569150617404,-1.64309597834124
"46","VA",0.635706156132198,0.212073012743208,-0.506338470546359,0.827252124496939
"47","VT",-0.0798231710335056,1.07156112103484,0.192618808731098,-0.805124866507056
"48","WA",0.835512326514504,0.359885293112087,0.507826219074509,-0.398458303942876
"49","WI",-0.121684399129936,0.0585350197244472,-0.133451439588056,1.50382551989074
"50","WV",-0.0407772895752194,0.60215912989858,-0.654771394564236,-1.63738093486275
"51","WY",-0.151161722713255,0.32929997141666,0.216208551495369,-0.591821413438924
