"","armedknife","armedother","armedunarmed","armedundetermined","armedvehicle","age","genderM","raceH","raceO","raceW","fleeFoot","fleeMissing","fleeNot fleeing","fleeOther","body_cameraTrue","pressure","moonphase","batch"
"2016",0.661780270790721,0.529104466006106,0.0972193541164073,-1.09275393653813,0.442653865703387,0.075763976402534,-0.682443062550494,0.43335675600725,0.789333424296145,1.02259289915245,0.0236512126757177,-0.530328557488775,1.22865106888486,-0.494630903056597,0.0291935536033556,-0.0981170462517866,-0.0504723130376681,2016
"2018",0.76059277224675,0.264706235629444,-0.0269742717099094,0.545033354377862,-1.42320841482596,0.174471462028364,-0.180221165587445,-0.00911559727497442,0.0169275767285732,0.563861487054048,0.694168309310175,0.767070035013591,1.6424573595311,1.01870675156746,0.671209847437602,-0.0748491784402381,-0.0872545729306261,2018
"2020",0.597004733890643,0.899246582461709,0.0963779241249849,-1.68236247305252,-1.70711380057498,0.23341094421176,-0.783502695524422,0.116346207843613,0.505519384406674,0.834786966841703,0.467229949504279,0.615696804564244,1.07268021569798,-0.702022028220131,0.653218148629083,0.0708579842881544,-0.0190338203912882,2020
"2022",1.15610933194424,0.731509491851841,0.741683714443658,0.595219639829185,-1.29753442498803,0.0667916964584029,-0.554759726027632,-0.988659925893673,-0.379224874793181,0.00415875084792386,0.762763629556584,1.22999235662892,1.60121585312481,0.681132780842644,0.124431784411486,-0.13445750659382,-0.166031144234737,2022
